FID,Station_Co,latitude,longitude,agency
52,BM140,53.457700000000003,-6.174100000000000,EPA
53,BM145,53.460000000000001,-6.180000000000000,EPA
54,BM150,53.468499999999999,-6.172500000000000,EPA
55,BM170,53.459299999999999,-6.158100000000000,EPA
56,BM210,53.458100000000002,-6.154300000000000,EPA
57,BM220,53.454500000000003,-6.152200000000000,EPA
58,BM230,53.452199999999998,-6.141000000000000,EPA
59,BN010,51.752926000000002,-8.640043000000000,EPA
60,BN020,51.745778999999999,-8.631978000000000,EPA
61,BN030,51.737228000000002,-8.634465000000001,EPA
62,BN040,51.728940000000001,-8.629716999999999,EPA
63,BN050,51.722962000000003,-8.612848000000000,EPA
64,BN060,51.706757000000003,-8.600766999999999,EPA
65,BN070,51.695436999999998,-8.580268000000000,EPA
66,BN080,51.701694000000003,-8.551810000000000,EPA
67,BN090,51.692796999999999,-8.532178000000000,EPA
68,BN100,51.702314000000001,-8.514208999999999,EPA
69,BN110,51.691406000000001,-8.501215000000000,EPA
70,BN120,51.673670000000001,-8.508233000000001,EPA
71,BN130,51.666466999999997,-8.511274000000000,EPA
72,BN140,51.656961000000003,-8.506470999999999,EPA
73,BR010,52.123807999999997,-7.844235000000000,EPA
74,BR110,52.146963000000000,-7.855476000000000,EPA
75,BR120,52.119884999999996,-7.854906000000000,EPA
76,BR130,52.109546999999999,-7.866909000000000,EPA
77,BR140,52.087389000000002,-7.862408000000000,EPA
78,BR150,52.082639000000000,-7.883297000000000,EPA
79,BR160,52.065103000000001,-7.872407000000000,EPA
80,BR170,52.048898999999999,-7.849131000000000,EPA
81,BR180,52.030723000000002,-7.852747000000000,EPA
82,BR190,52.013561000000003,-7.855250000000000,EPA
83,BR200,51.995913999999999,-7.882401000000000,EPA
84,BR210,51.983736000000000,-7.865069000000000,EPA
85,BR220,51.966216000000003,-7.846499000000000,EPA
86,BR230,51.948234999999997,-7.841746000000000,EPA
87,BR240,51.927070000000001,-7.835250000000000,EPA
88,BR250,51.912373000000002,-7.838980000000000,EPA
89,BR270,51.887956000000003,-7.860289070000000,EPA
90,BR280,51.940944000000002,-7.786060127000000,EPA
91,BV010,51.649808000000000,-9.905828981000001,EPA
92,BV020,51.641956999999998,-9.908054444999999,EPA
93,BV030,51.634745000000002,-9.923822792999999,EPA
94,BV040,51.624917000000003,-9.921385195999999,EPA
95,BV050,51.645905999999997,-9.868261496000001,EPA
96,BV060,51.638438999999998,-9.821384054999999,EPA
97,BV070,51.656350000000003,-9.821570445000001,EPA
98,BV080,51.653086000000002,-9.785758575999999,EPA
99,CC010,52.125749999999996,-9.785444000000000,EPA
100,CC020,52.149999999999999,-9.785861000000001,EPA
101,CC030,52.153604000000001,-9.817287000000000,EPA
102,CC040,52.154440000000001,-9.856570000000000,EPA
103,CC100,52.140155000000000,-9.899131000000001,EPA
104,CC105,52.122590000000002,-9.917430000000000,EPA
105,CC110,52.098545000000001,-9.921632000000001,EPA
106,CC120,52.074221999999999,-9.941500000000000,EPA
107,CC125,52.097031999999999,-9.935634000000000,EPA
108,CC130,52.069608000000002,-9.962792000000000,EPA
109,CF110,52.430900000000001,-9.542800000000000,EPA
110,CF115,52.423242999999999,-9.561090999999999,EPA
111,CF120,52.421700000000001,-9.566900000000000,EPA
112,CF130,52.435699999999997,-9.597000000000000,EPA
113,CF140,52.443882000000002,-9.579005000000000,EPA
114,CF150,52.432225000000003,-9.637212000000000,EPA
115,CF160,52.446700000000000,-9.625600000000000,EPA
116,CF165,52.456473000000003,-9.627065999999999,EPA
117,CF170,52.469299999999997,-9.633200000000000,EPA
118,CF180,52.474899999999998,-9.637700000000001,EPA
119,CF190,52.482999999999997,-9.681699999999999,EPA
120,CF200,52.486100000000000,-9.701000000000001,EPA
121,CG110,52.104199999999999,-7.640200000000000,EPA
122,CG120,52.101900000000001,-7.627100000000000,EPA
123,CG130,52.091999999999999,-7.620000000000000,EPA
124,CG140,52.087200000000003,-7.613800000000000,EPA
125,CG150,52.079900000000002,-7.617800000000000,EPA
126,CG160,52.086300000000001,-7.611500000000000,EPA
127,CG170,52.087899999999998,-7.609500000000000,EPA
128,CG190,52.084099999999999,-7.605300000000000,EPA
129,CG200,52.081899999999997,-7.597800000000000,EPA
130,CG210,52.100748000000003,-7.584822000000000,EPA
131,CG220,52.083900000000000,-7.581600000000000,EPA
132,CG230,52.084434999999999,-7.571845000000000,EPA
133,CG240,52.078000000000003,-7.568400000000000,EPA
134,CG250,52.076500000000003,-7.556200000000000,EPA
135,CG260,52.068800000000003,-7.551400000000000,EPA
136,CG270,52.076599999999999,-7.530000000000000,EPA
137,CG280,52.095100000000002,-7.532100000000000,EPA
138,CG290,52.058500000000002,-7.600400000000000,EPA
139,CG300,52.052199999999999,-7.567100000000000,EPA
140,CG310,52.055300000000003,-7.546600000000000,EPA
141,CG320,52.060899999999997,-7.536800000000000,EPA
142,CN010,54.012099999999997,-6.403100000000000,EPA
143,CN020,54.008200000000002,-6.388000000000000,EPA
144,CN030,54.007500000000000,-6.364300000000000,EPA
145,CN040,54.009000000000000,-6.349300000000000,EPA
146,CN100,54.028700000000001,-6.349726000000000,EPA
147,CN110,54.008600000000001,-6.341100000000000,EPA
148,CN120,54.003999999999998,-6.328000000000000,EPA
149,CN130,53.984499999999997,-6.311000000000000,EPA
150,CN140,53.974299999999999,-6.296800000000000,EPA
151,CN150,53.960799999999999,-6.282300000000000,EPA
152,CN160,53.972000000000001,-6.255600000000000,EPA
153,CN165,53.972000000000001,-6.255600000000000,EPA
154,CN170,53.945700000000002,-6.305100000000000,EPA
155,CW010,53.862861000000002,-9.641472000000000,EPA
156,CW020,53.864139000000002,-9.666888999999999,EPA
157,CW030,53.823721999999997,-9.663306000000000,EPA
158,CW040,53.808889000000001,-9.647694000000000,EPA
159,CW110,53.849350000000001,-9.719325978000001,EPA
160,CW120,53.799765000000001,-9.721045047000000,EPA
161,CW130,53.837983000000001,-9.788480805000001,EPA
162,CW140,53.795999999999999,-9.776281770000001,EPA
163,CW150,53.818337999999997,-9.941823908000000,EPA
164,CW160,53.779229999999998,-9.920450387000001,EPA
165,CY005,51.625045000000000,-8.877586000000001,EPA
166,CY010,51.621606000000000,-8.883344415000000,EPA
167,CY020,51.614798999999998,-8.871623399000001,EPA
168,CY030,51.609110000000001,-8.860409832000000,EPA
169,CY035,51.611809999999998,-8.848699923000000,EPA
170,CY040,51.609217999999998,-8.851174100000000,EPA
171,CY050,51.605353999999998,-8.847819020999999,EPA
172,CY100,51.601087999999997,-8.850281906999999,EPA
173,CY110,51.593533000000001,-8.850205185000000,EPA
174,CY120,51.580240000000003,-8.867411055000000,EPA
