chapter,chapt_no,chapt_title,domain,sub_domain,figure_no,variable,available_data,unit
3.1 Ocean Surface and Subsurface Temperature,3.1 ,Ocean Surface and Subsurface Temperature,oceanic,ssop,3.3.,subsurface_sea_temperature_anomaly,moving_average__11year__subsurface_sea_temperature_anomaly,C
3.2 Ocean Surface and Subsurface Salinity,3.2 ,Ocean Surface and Subsurface Salinity,oceanic,sop,3.4.,upper_sea_salinity,mean__annual__upper_sea_salinity,ppt
3.2 Ocean Surface and Subsurface Salinity,3.2 ,Ocean Surface and Subsurface Salinity,oceanic,sop,3.4.,upper_sea_salinity,moving_average__5year__upper_sea_salinity,ppt
3.2 Ocean Surface and Subsurface Salinity,3.2 ,Ocean Surface and Subsurface Salinity,oceanic,ssop,3.5.,deep_sea_salinity,mean__annual__deep_sea_salinity,ppt
3.2 Ocean Surface and Subsurface Salinity,3.2 ,Ocean Surface and Subsurface Salinity,oceanic,ssop,3.5.,deep_sea_salinity,moving_average__5year__deep_sea_salinity,ppt
3.3 Ocean Surface and Subsurface Currents,3.3 ,Ocean Surface and Subsurface Currents,oceanic,sop,,,____,
3.3 Ocean Surface and Subsurface Currents,3.3 ,Ocean Surface and Subsurface Currents,oceanic,ssop,,,____,
3.4 Sea Level,3.4 ,Sea Level,oceanic,sop,3.7.,sea_surface_height,mean__monthly__sea_surface_height,m
3.4 Sea Level,3.4 ,Sea Level,oceanic,sop,3.8.,sea_surface_height,mean__annual__sea_surface_height,m
3.4 Sea Level,3.4 ,Sea Level,oceanic,sop,3.8.,sea_surface_height,mean__monthly__sea_surface_height,m
3.5 Sea State,3.5 ,Sea State,oceanic,sop,3.10.,sea_surface_wave_significant_height,mean__daily__sea_surface_wave_significant_height,m
3.5 Sea State,3.5 ,Sea State,oceanic,sop,3.11.,sea_surface_wave_significant_height,mean_of_average__monthly__sea_surface_wave_significant_height,m
3.6 Inorganic Carbon,3.6 ,Inorganic Carbon,oceanic,obgc,3.13.,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,umol/kg
3.7 Oxygen,3.7 ,Oxygen,oceanic,obgc,3.15.,fractional_saturation_of_oxygen_in_sea_water,fractional_saturation_of_oxygen_in_sea_water,%
3.7 Oxygen,3.7 ,Oxygen,oceanic,obgc,3.16.,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,umol/L
3.8 Nutrients,3.8 ,Nutrients,oceanic,obgc,,,____,
3.9 Ocean Colour,3.9 ,Ocean Colour,oceanic,obgc,3.20.,mass_concentration_of_chlorophyll_a_in_sea_water,mean__monthly__mass_concentration_of_chlorophyll_a_in_sea_water,mg/m3
3.10 Plankton,3.10,Plankton,oceanic,obe,,,____,
3.11 Marine Habitat Properties,3.11,Marine Habitat Properties,oceanic,obe,,,____,
3.12 Other Ocean ECVs,3.12,Other Ocean ECVs,oceanic,,,,____,
4.1 River Discharge,4.1 ,River Discharge,terrestrial,hyd,4.1.,river_flow,trend__annual__river_flow,%
4.2 Groundwater,4.2 ,Groundwater,terrestrial,hyd,4.2.,groundwater_level,mean__daily__groundwater_level,m
4.3 Lakes,4.3 ,Lakes,terrestrial,hyd,4.3.,lake_level,mean__monthly__lake_level,m
4.4 Soil Moisture,4.4 ,Soil Moisture,terrestrial,hyd,4.4.,soil_moisture_deficit,mean__daily__soil_moisture_deficit,mm
4.4 Soil Moisture,4.4 ,Soil Moisture,terrestrial,hyd,4.5.,soil_moisture_deficit,mean__monthly__soil_moisture_deficit,mm
4.5 Albedo,4.5 ,Albedo,terrestrial,bio,4.7.,albedo,mean__10day__albedo,number
4.6 Land Cover,4.6 ,Land Cover,terrestrial,bio,4.10.,land_cover,land_cover,ha
4.6 Land Cover,4.6 ,Land Cover,terrestrial,bio,4.11.,land_cover,cumulative_change__land_cover,ha
4.7 Fraction of Absorbed Photosynthetically Active Radiation (FAPAR),4.7 ,Fraction of Absorbed Photosynthetically Active Radiation (FA,terrestrial,bio,4.12.,fapar,mean__10day__fapar,number
4.8 Leaf Area Index (LAI),4.8 ,Leaf Area Index (LAI),terrestrial,bio,4.14.,leaf_area_index,mean__10day__leaf_area_index,number
4.9 Above-ground Biomass.,4.9 ,Above-ground Biomass.,terrestrial,bio,4.17.,growing_stock_volume,sum__annual__growing_stock_volume,million m3
4.10 Soil Carbon.,4.10, Soil Carbon.,terrestrial,bio,4.18.,soil_organic_carbon_density,soil_organic_carbon_density,t/ha
4.11 Fire,4.11, Fire,terrestrial,bio,4.21.,fire_area,sum__annual__fire_area,ha
4.11 Fire,4.11, Fire,terrestrial,bio,4.22.,fire_index_days,sum__annual__fire_index_days,days
4.12 Land Surface Temperature,4.12, Land Surface Temperature,terrestrial,bio,4.24.,surface_land_temperature_day,mean__monthly__surface_land_temperature_day,C
4.12 Land Surface Temperature,4.12, Land Surface Temperature,terrestrial,bio,4.24.,surface_land_temperature_night,mean__monthly__surface_land_temperature_night,C
4.13 Anthropogenic Water Use,4.13, Anthropogenic Water Use,terrestrial,ant,4.26.,freshwater_abstraction,sum__annual__freshwater_abstraction,m3
4.14 Anthropogenic Greenhouse Gas Emissions,4.14, Anthropogenic Greenhouse Gas Emissions,terrestrial,ant,4.27.,greenhouse_gas_emissions,sum__annual__greenhouse_gas_emissions,tCO2eq
